x,y,event,description,ordinalNum
-68.0,-29.0,Goal,Anze Kopitar (8) Snap Shot, assists: Kale Clague (5), Adrian Kempe (4),2nd
-52.0,3.0,Shot,Mikey Anderson Wrist Shot saved by Filip Gustavsson,2nd
-70.0,28.0,Missed Shot,Dustin Brown Over Net Filip Gustavsson,3rd
-69.0,-10.0,Shot,Phillip Danault Wrist Shot saved by Filip Gustavsson,3rd
-77.0,12.0,Shot,Phillip Danault Wrist Shot saved by Filip Gustavsson,3rd
-42.0,32.0,Shot,Mikey Anderson Wrist Shot saved by Filip Gustavsson,3rd
-82.0,-6.0,Shot,Tobias Bjornfot Deflected saved by Filip Gustavsson,3rd
-86.0,-7.0,Shot,Andreas Athanasiou Wrist Shot saved by Filip Gustavsson,3rd
-53.0,1.0,Shot,Adrian Kempe Wrist Shot saved by Filip Gustavsson,3rd
-6.0,18.0,Shot,Brendan Lemieux Backhand saved by Filip Gustavsson,3rd
-60.0,-13.0,Goal,Andreas Athanasiou (2) Tip-In, assists: Alexander Edler (4), Phillip Danault (6),3rd
-74.0,-14.0,Shot,Adrian Kempe Wrist Shot saved by Connor Hellebuyck,1st
-54.0,1.0,Shot,Anze Kopitar Wrist Shot saved by Connor Hellebuyck,1st
-69.0,-24.0,Goal,Carl Grundstrom (3) Snap Shot, assists: Trevor Moore (1),1st
-48.0,4.0,Shot,Phillip Danault Wrist Shot saved by Connor Hellebuyck,1st
-54.0,0.0,Shot,Matt Roy Snap Shot saved by Connor Hellebuyck,1st
-44.0,20.0,Missed Shot,Alexander Edler Wide of Net Connor Hellebuyck,1st
-52.0,-17.0,Shot,Matt Roy Snap Shot saved by Connor Hellebuyck,1st
-83.0,14.0,Shot,Dustin Brown Wrist Shot saved by Connor Hellebuyck,1st
-75.0,3.0,Missed Shot,Andreas Athanasiou Wide of Net Connor Hellebuyck,1st
-69.0,-1.0,Shot,Phillip Danault Tip-In saved by Connor Hellebuyck,1st
-47.0,-1.0,Missed Shot,Andreas Athanasiou Wide of Net Connor Hellebuyck,1st
-81.0,27.0,Shot,Blake Lizotte Wrist Shot saved by Connor Hellebuyck,1st
-69.0,-1.0,Shot,Alex Iafallo Wrist Shot saved by Connor Hellebuyck,1st
-45.0,-1.0,Shot,Olli Maatta Snap Shot saved by Connor Hellebuyck,1st
-63.0,-1.0,Shot,Trevor Moore Snap Shot saved by Connor Hellebuyck,1st
-38.0,-30.0,Shot,Matt Roy Wrist Shot saved by Connor Hellebuyck,1st
-56.0,7.0,Missed Shot,Phillip Danault Over Net Connor Hellebuyck,1st
-61.0,6.0,Missed Shot,Dustin Brown Wide of Net Connor Hellebuyck,1st
-78.0,-7.0,Shot,Trevor Moore Backhand saved by Connor Hellebuyck,1st
-52.0,-3.0,Shot,Adrian Kempe Wrist Shot saved by Connor Hellebuyck,2nd
-20.0,2.0,Shot,Phillip Danault Tip-In saved by Connor Hellebuyck,2nd
-57.0,16.0,Shot,Carl Grundstrom Wrist Shot saved by Connor Hellebuyck,2nd
-65.0,24.0,Shot,Adrian Kempe Wrist Shot saved by Connor Hellebuyck,2nd
-58.0,-31.0,Shot,Dustin Brown Wrist Shot saved by Connor Hellebuyck,2nd
-63.0,-29.0,Shot,Adrian Kempe Wrist Shot saved by Connor Hellebuyck,2nd
-40.0,14.0,Missed Shot,Trevor Moore Wide of Net Connor Hellebuyck,2nd
-4.0,27.0,Shot,Arthur Kaliyev Backhand saved by Connor Hellebuyck,2nd
-61.0,10.0,Shot,Blake Lizotte Wrist Shot saved by Connor Hellebuyck,2nd
-78.0,-2.0,Goal,Brendan Lemieux (2) Wrist Shot, assists: Blake Lizotte (3), Olli Maatta (2),2nd
-59.0,11.0,Shot,Dustin Brown Wrist Shot saved by Connor Hellebuyck,2nd
-61.0,26.0,Missed Shot,Alex Iafallo Wide of Net Connor Hellebuyck,2nd
-81.0,9.0,Missed Shot,Rasmus Kupari Wide of Net Connor Hellebuyck,3rd
-53.0,-27.0,Shot,Olli Maatta Wrist Shot saved by Connor Hellebuyck,3rd
-34.0,-18.0,Shot,Kale Clague Wrist Shot saved by Connor Hellebuyck,3rd
-75.0,22.0,Missed Shot,Adrian Kempe Wide of Net Connor Hellebuyck,3rd
-76.0,-1.0,Missed Shot,Adrian Kempe Wide of Net Connor Hellebuyck,3rd
-80.0,4.0,Shot,Rasmus Kupari Wrist Shot saved by Connor Hellebuyck,3rd
-72.0,-2.0,Missed Shot,Alex Iafallo Wide of Net Connor Hellebuyck,3rd
-61.0,23.0,Shot,Adrian Kempe Wrist Shot saved by Connor Hellebuyck,3rd
-69.0,-22.0,Shot,Anze Kopitar Wrist Shot saved by Connor Hellebuyck,OT
-67.0,39.0,Shot,Dustin Brown Wrist Shot saved by Ilya Samsonov,1st
-64.0,38.0,Shot,Arthur Kaliyev Backhand saved by Ilya Samsonov,1st
-82.0,6.0,Missed Shot,Phillip Danault Wide of Net Ilya Samsonov,1st
-48.0,2.0,Missed Shot,Andreas Athanasiou Wide of Net Ilya Samsonov,1st
-51.0,-10.0,Shot,Rasmus Kupari Snap Shot saved by Ilya Samsonov,1st
-58.0,21.0,Shot,Andreas Athanasiou Slap Shot saved by Ilya Samsonov,1st
-57.0,-12.0,Shot,Viktor Arvidsson Snap Shot saved by Ilya Samsonov,1st
-31.0,31.0,Shot,Matt Roy Slap Shot saved by Ilya Samsonov,1st
-50.0,-31.0,Shot,Phillip Danault Snap Shot saved by Ilya Samsonov,1st
-37.0,22.0,Shot,Adrian Kempe Slap Shot saved by Ilya Samsonov,1st
-90.0,10.0,Shot,Viktor Arvidsson Wrist Shot saved by Ilya Samsonov,1st
-37.0,18.0,Shot,Matt Roy Slap Shot saved by Ilya Samsonov,1st
-51.0,-19.0,Shot,Arthur Kaliyev Wrist Shot saved by Ilya Samsonov,1st
-80.0,-4.0,Shot,Phillip Danault Backhand saved by Ilya Samsonov,1st
-72.0,-36.0,Missed Shot,Viktor Arvidsson Wide of Net Ilya Samsonov,1st
-38.0,0.0,Shot,Olli Maatta Wrist Shot saved by Ilya Samsonov,1st
-19.0,-2.0,Shot,Tobias Bjornfot Tip-In saved by Ilya Samsonov,1st
-74.0,-20.0,Missed Shot,Phillip Danault Wide of Net Ilya Samsonov,2nd
-81.0,-11.0,Shot,Trevor Moore Wrist Shot saved by Ilya Samsonov,2nd
-39.0,-27.0,Missed Shot,Matt Roy Wide of Net Ilya Samsonov,2nd
-38.0,-20.0,Shot,Matt Roy Wrist Shot saved by Ilya Samsonov,2nd
-81.0,-5.0,Shot,Trevor Moore Snap Shot saved by Ilya Samsonov,2nd
-35.0,-27.0,Shot,Matt Roy Wrist Shot saved by Ilya Samsonov,2nd
-82.0,-6.0,Shot,Trevor Moore Backhand saved by Ilya Samsonov,2nd
-61.0,-7.0,Shot,Adrian Kempe Snap Shot saved by Ilya Samsonov,2nd
-83.0,14.0,Shot,Alex Iafallo Wrist Shot saved by Ilya Samsonov,2nd
-90.0,-31.0,Shot,Tobias Bjornfot Wrist Shot saved by Ilya Samsonov,3rd
-73.0,-2.0,Missed Shot,Blake Lizotte Wide of Net Ilya Samsonov,3rd
-79.0,-8.0,Shot,Adrian Kempe Wrist Shot saved by Ilya Samsonov,3rd
-81.0,5.0,Shot,Viktor Arvidsson Wrist Shot saved by Ilya Samsonov,3rd
-83.0,7.0,Shot,Viktor Arvidsson Wrist Shot saved by Ilya Samsonov,3rd
-48.0,-35.0,Missed Shot,Mikey Anderson Wide of Net Ilya Samsonov,3rd
-86.0,-10.0,Shot,Arthur Kaliyev Wrist Shot saved by Ilya Samsonov,3rd
-55.0,-9.0,Missed Shot,Phillip Danault Wide of Net Ilya Samsonov,3rd
-58.0,-8.0,Shot,Tobias Bjornfot Wrist Shot saved by Ilya Samsonov,3rd
-81.0,32.0,Shot,Andreas Athanasiou Wrist Shot saved by Ilya Samsonov,3rd
-48.0,-31.0,Shot,Adrian Kempe Wrist Shot saved by Ilya Samsonov,3rd
-61.0,-29.0,Shot,Adrian Kempe Wrist Shot saved by Ilya Samsonov,3rd
-42.0,-30.0,Shot,Tobias Bjornfot Wrist Shot saved by Ilya Samsonov,3rd
-32.0,1.0,Shot,Kale Clague Slap Shot saved by Ilya Samsonov,3rd
-77.0,2.0,Shot,Arthur Kaliyev Wrist Shot saved by Ilya Samsonov,3rd
-39.0,23.0,Shot,Adrian Kempe Slap Shot saved by Ilya Samsonov,3rd
-77.0,-19.0,Missed Shot,Viktor Arvidsson Wide of Net Ilya Samsonov,3rd
76.0,7.0,Shot,Andrei Svechnikov Backhand saved by Ilya Sorokin,1st
80.0,3.0,Shot,Steven Lorentz Tip-In saved by Ilya Sorokin,1st
57.0,19.0,Missed Shot,Martin Necas Wide of Net Ilya Sorokin,1st
81.0,-4.0,Missed Shot,Sebastian Aho Wide of Net Ilya Sorokin,1st
78.0,-6.0,Missed Shot,Andrei Svechnikov Wide of Net Ilya Sorokin,1st
81.0,-2.0,Goal,Andrei Svechnikov (1) Tip-In, assists: Teuvo Teravainen (1), Ethan Bear (1),1st
11.0,-32.0,Shot,Derek Stepan Wrist Shot saved by Ilya Sorokin,1st
61.0,-4.0,Shot,Vincent Trocheck Snap Shot saved by Ilya Sorokin,1st
77.0,-12.0,Goal,Jesper Fast (1) Wrist Shot, assists: Jaccob Slavin (1), Jordan Staal (1),1st
82.0,28.0,Shot,Tony DeAngelo Snap Shot saved by Ilya Sorokin,1st
43.0,-25.0,Missed Shot,Ian Cole Wide of Net Ilya Sorokin,1st
27.0,-28.0,Missed Shot,Teuvo Teravainen Wide of Net Ilya Sorokin,1st
40.0,-25.0,Shot,Ian Cole Snap Shot saved by Ilya Sorokin,1st
37.0,35.0,Shot,Jaccob Slavin Wrist Shot saved by Ilya Sorokin,2nd
69.0,40.0,Shot,Jaccob Slavin Snap Shot saved by Ilya Sorokin,2nd
51.0,-9.0,Shot,Teuvo Teravainen Slap Shot saved by Ilya Sorokin,2nd
55.0,25.0,Shot,Andrei Svechnikov Snap Shot saved by Ilya Sorokin,2nd
29.0,-1.0,Shot,Tony DeAngelo Wrist Shot saved by Ilya Sorokin,2nd
82.0,1.0,Shot,Jordan Staal Tip-In saved by Ilya Sorokin,2nd
50.0,-17.0,Shot,Derek Stepan Snap Shot saved by Ilya Sorokin,2nd
55.0,35.0,Shot,Nino Niederreiter Snap Shot saved by Ilya Sorokin,2nd
52.0,-38.0,Shot,Tony DeAngelo Snap Shot saved by Ilya Sorokin,2nd
61.0,-9.0,Goal,Jordan Martinook (1) Snap Shot, assists: none,2nd
88.0,6.0,Shot,Vincent Trocheck Wrap-around saved by Ilya Sorokin,2nd
51.0,-15.0,Shot,Vincent Trocheck Slap Shot saved by Ilya Sorokin,2nd
82.0,-16.0,Missed Shot,Vincent Trocheck Goalpost Ilya Sorokin,2nd
60.0,-10.0,Missed Shot,Andrei Svechnikov Wide of Net Ilya Sorokin,2nd
30.0,0.0,Shot,Jaccob Slavin Slap Shot saved by Ilya Sorokin,2nd
36.0,37.0,Missed Shot,Ian Cole Wide of Net Ilya Sorokin,2nd
32.0,-12.0,Shot,Tony DeAngelo Slap Shot saved by Ilya Sorokin,2nd
83.0,0.0,Shot,Nino Niederreiter Wrist Shot saved by Ilya Sorokin,2nd
84.0,0.0,Goal,Nino Niederreiter (1) Deflected, assists: none,2nd
45.0,-17.0,Shot,Teuvo Teravainen Wrist Shot saved by Ilya Sorokin,2nd
77.0,1.0,Shot,Sebastian Aho Tip-In saved by Ilya Sorokin,2nd
80.0,-2.0,Missed Shot,Vincent Trocheck Wide of Net Ilya Sorokin,2nd
37.0,10.0,Shot,Nino Niederreiter Wrist Shot saved by Ilya Sorokin,2nd
77.0,16.0,Shot,Derek Stepan Backhand saved by Ilya Sorokin,2nd
42.0,37.0,Shot,Jaccob Slavin Snap Shot saved by Ilya Sorokin,2nd
70.0,-10.0,Shot,Jordan Staal Snap Shot saved by Ilya Sorokin,2nd
47.0,-23.0,Missed Shot,Jaccob Slavin Wide of Net Ilya Sorokin,3rd
57.0,31.0,Shot,Teuvo Teravainen Slap Shot saved by Ilya Sorokin,3rd
76.0,14.0,Missed Shot,Vincent Trocheck Wide of Net Ilya Sorokin,3rd
75.0,3.0,Shot,Jordan Staal Tip-In saved by Ilya Sorokin,3rd
83.0,8.0,Missed Shot,Jordan Staal Goalpost Ilya Sorokin,3rd
77.0,8.0,Missed Shot,Derek Stepan Wide of Net Ilya Sorokin,3rd
66.0,-16.0,Shot,Teuvo Teravainen Snap Shot saved by Ilya Sorokin,3rd
84.0,18.0,Missed Shot,Jaccob Slavin Wide of Net Ilya Sorokin,3rd
80.0,1.0,Shot,Nino Niederreiter Wrist Shot saved by Ilya Sorokin,3rd
39.0,34.0,Shot,Brett Pesce Slap Shot saved by Ilya Sorokin,3rd
80.0,-32.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Ilya Sorokin,3rd
44.0,27.0,Shot,Tony DeAngelo Slap Shot saved by Ilya Sorokin,3rd
60.0,-6.0,Missed Shot,Andrei Svechnikov Goalpost Ilya Sorokin,3rd
62.0,29.0,Goal,Teuvo Teravainen (1) Slap Shot, assists: Tony DeAngelo (1), Andrei Svechnikov (1),3rd
76.0,-2.0,Shot,Vincent Trocheck Snap Shot saved by Ilya Sorokin,3rd
60.0,3.0,Shot,Jesperi Kotkaniemi Snap Shot saved by Ilya Sorokin,3rd
70.0,-20.0,Missed Shot,Vincent Trocheck Wide of Net Ilya Sorokin,3rd
58.0,38.0,Goal,Andrei Svechnikov (2) Wrist Shot, assists: Tony DeAngelo (2), Sebastian Aho (1),3rd
50.0,30.0,Missed Shot,Ian Cole Wide of Net Ilya Sorokin,3rd
35.0,2.0,Shot,Ian Cole Deflected saved by Juuse Saros,1st
67.0,27.0,Shot,Jesper Fast Wrist Shot saved by Juuse Saros,1st
69.0,-1.0,Shot,Nino Niederreiter Backhand saved by Juuse Saros,1st
44.0,-33.0,Shot,Brady Skjei Wrist Shot saved by Juuse Saros,1st
76.0,24.0,Missed Shot,Jesperi Kotkaniemi Wide of Net Juuse Saros,1st
69.0,-20.0,Goal,Jesper Fast (2) Wrist Shot, assists: Jordan Staal (2), Jaccob Slavin (2),1st
73.0,24.0,Shot,Andrei Svechnikov Wrist Shot saved by Juuse Saros,1st
41.0,14.0,Shot,Tony DeAngelo Wrist Shot saved by Juuse Saros,1st
68.0,-25.0,Shot,Jordan Martinook Wrist Shot saved by Juuse Saros,1st
83.0,-9.0,Shot,Derek Stepan Backhand saved by Juuse Saros,1st
81.0,2.0,Shot,Andrei Svechnikov Backhand saved by Juuse Saros,1st
65.0,18.0,Shot,Sebastian Aho Wrist Shot saved by Juuse Saros,1st
83.0,11.0,Shot,Sebastian Aho Wrist Shot saved by Juuse Saros,1st
55.0,0.0,Shot,Teuvo Teravainen Wrist Shot saved by Juuse Saros,1st
50.0,3.0,Shot,Martin Necas Wrist Shot saved by Juuse Saros,1st
39.0,-11.0,Missed Shot,Ethan Bear Over Net Juuse Saros,2nd
36.0,25.0,Missed Shot,Jaccob Slavin Wide of Net Juuse Saros,2nd
79.0,14.0,Shot,Andrei Svechnikov Wrist Shot saved by Juuse Saros,2nd
84.0,-27.0,Shot,Martin Necas Wrist Shot saved by Juuse Saros,2nd
75.0,0.0,Missed Shot,Sebastian Aho Over Net Juuse Saros,2nd
43.0,-26.0,Shot,Brett Pesce Wrist Shot saved by Juuse Saros,2nd
49.0,18.0,Shot,Andrei Svechnikov Wrist Shot saved by Juuse Saros,2nd
78.0,0.0,Shot,Derek Stepan Deflected saved by Juuse Saros,2nd
82.0,-7.0,Shot,Derek Stepan Wrist Shot saved by Juuse Saros,2nd
82.0,-6.0,Shot,Nino Niederreiter Wrist Shot saved by Juuse Saros,2nd
57.0,10.0,Missed Shot,Steven Lorentz Wide of Net Juuse Saros,2nd
78.0,5.0,Shot,Jordan Staal Wrist Shot saved by Juuse Saros,2nd
74.0,-1.0,Missed Shot,Jordan Staal Wide of Net Juuse Saros,2nd
67.0,-18.0,Shot,Andrei Svechnikov Wrist Shot saved by Juuse Saros,3rd
81.0,0.0,Shot,Andrei Svechnikov Wrist Shot saved by Juuse Saros,3rd
44.0,33.0,Missed Shot,Brett Pesce Wide of Net Juuse Saros,3rd
72.0,12.0,Shot,Martin Necas Deflected saved by Juuse Saros,3rd
35.0,-25.0,Shot,Martin Necas Wrist Shot saved by Juuse Saros,3rd
78.0,-26.0,Missed Shot,Jaccob Slavin Wide of Net Juuse Saros,3rd
88.0,-25.0,Shot,Sebastian Aho Wrist Shot saved by Juuse Saros,3rd
36.0,-10.0,Missed Shot,Jaccob Slavin Wide of Net Juuse Saros,3rd
44.0,-3.0,Shot,Martin Necas Wrist Shot saved by Juuse Saros,3rd
73.0,-14.0,Missed Shot,Jordan Staal Wide of Net Juuse Saros,3rd
86.0,32.0,Shot,Derek Stepan Wrist Shot saved by Juuse Saros,3rd
36.0,-7.0,Missed Shot,Ian Cole Wide of Net Juuse Saros,3rd
66.0,-27.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Juuse Saros,3rd
60.0,-18.0,Goal,Andrei Svechnikov (3) Wrist Shot, assists: Martin Necas (1), Brett Pesce (1),3rd
37.0,8.0,Goal,Teuvo Teravainen (2) Wrist Shot, assists: Brett Pesce (2), Sebastian Aho (2),3rd
48.0,15.0,Missed Shot,Derek Stepan Wide of Net,3rd
65.0,-14.0,Missed Shot,Martin Necas Wide of Net Jake Allen,1st
60.0,3.0,Missed Shot,Jordan Martinook Wide of Net Jake Allen,1st
76.0,16.0,Missed Shot,Jordan Staal Wide of Net Jake Allen,1st
33.0,-32.0,Shot,Brett Pesce Wrist Shot saved by Jake Allen,1st
71.0,0.0,Shot,Jordan Staal Tip-In saved by Jake Allen,1st
88.0,-4.0,Shot,Andrei Svechnikov Wrist Shot saved by Jake Allen,1st
33.0,37.0,Missed Shot,Ian Cole Wide of Net Jake Allen,1st
46.0,-14.0,Shot,Andrei Svechnikov Wrist Shot saved by Jake Allen,1st
51.0,-37.0,Shot,Jordan Martinook Wrist Shot saved by Jake Allen,1st
68.0,2.0,Shot,Derek Stepan Wrist Shot saved by Jake Allen,1st
42.0,-21.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Jake Allen,1st
74.0,-7.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Jake Allen,1st
34.0,23.0,Shot,Sebastian Aho Slap Shot saved by Jake Allen,1st
58.0,18.0,Shot,Andrei Svechnikov Wrist Shot saved by Jake Allen,1st
52.0,33.0,Shot,Andrei Svechnikov Slap Shot saved by Jake Allen,2nd
78.0,15.0,Goal,Sebastian Aho (1) Slap Shot, assists: Teuvo Teravainen (2), Tony DeAngelo (3),2nd
34.0,15.0,Shot,Ethan Bear Slap Shot saved by Jake Allen,2nd
87.0,15.0,Goal,Andrei Svechnikov (4) Wrist Shot, assists: Martin Necas (2), Vincent Trocheck (1),2nd
34.0,-14.0,Missed Shot,Brett Pesce Wide of Net Jake Allen,2nd
42.0,-4.0,Shot,Teuvo Teravainen Wrist Shot saved by Jake Allen,2nd
79.0,0.0,Shot,Sebastian Aho Tip-In saved by Jake Allen,2nd
20.0,-16.0,Shot,Nino Niederreiter Wrist Shot saved by Jake Allen,2nd
55.0,-31.0,Missed Shot,Derek Stepan Wide of Net Jake Allen,2nd
73.0,0.0,Shot,Jordan Staal Wrist Shot saved by Jake Allen,2nd
55.0,33.0,Shot,Ethan Bear Wrist Shot saved by Jake Allen,2nd
1.0,34.0,Shot,Teuvo Teravainen Tip-In saved by Jake Allen,2nd
49.0,33.0,Missed Shot,Nino Niederreiter Over Net Jake Allen,3rd
69.0,23.0,Shot,Nino Niederreiter Wrist Shot saved by Jake Allen,3rd
59.0,-29.0,Shot,Vincent Trocheck Wrist Shot saved by Jake Allen,3rd
54.0,37.0,Shot,Ian Cole Wrist Shot saved by Jake Allen,3rd
69.0,-15.0,Shot,Andrei Svechnikov Wrist Shot saved by Jake Allen,3rd
83.0,7.0,Shot,Sebastian Aho Wrist Shot saved by Jake Allen,3rd
71.0,6.0,Goal,Jesperi Kotkaniemi (1) Tip-In, assists: Brady Skjei (1), Sebastian Aho (3),3rd
33.0,37.0,Missed Shot,Jaccob Slavin Wide of Net Jake Allen,3rd
80.0,1.0,Shot,Brady Skjei Tip-In saved by Jake Allen,3rd
73.0,1.0,Missed Shot,Jordan Martinook Over Net Jake Allen,3rd
71.0,42.0,Shot,Jordan Martinook Wrist Shot saved by Jake Allen,3rd
62.0,-27.0,Shot,Tony DeAngelo Wrist Shot saved by Jake Allen,3rd
75.0,-2.0,Missed Shot,Jordan Staal Over Net Jake Allen,3rd
44.0,12.0,Shot,Brady Skjei Wrist Shot saved by Jake Allen,3rd
78.0,42.0,Shot,Andrei Svechnikov Backhand saved by Jake Allen,3rd
68.0,11.0,Shot,Teuvo Teravainen Wrist Shot saved by Jake Allen,3rd
76.0,-30.0,Missed Shot,Sebastian Aho Wide of Net,3rd
27.0,5.0,Goal,Sebastian Aho (2) Wrist Shot, assists: Teuvo Teravainen (3), Vincent Trocheck (2),3rd
67.0,40.0,Shot,Tony DeAngelo Snap Shot saved by Joonas Korpisalo,1st
34.0,28.0,Shot,Tony DeAngelo Snap Shot saved by Joonas Korpisalo,1st
77.0,3.0,Missed Shot,Teuvo Teravainen Wide of Net Joonas Korpisalo,1st
74.0,11.0,Missed Shot,Vincent Trocheck Wide of Net Joonas Korpisalo,1st
75.0,-22.0,Missed Shot,Vincent Trocheck Wide of Net Joonas Korpisalo,1st
80.0,-10.0,Goal,Jesper Fast (3) Snap Shot, assists: Jordan Staal (3),1st
52.0,36.0,Shot,Nino Niederreiter Snap Shot saved by Joonas Korpisalo,1st
82.0,-2.0,Shot,Brady Skjei Backhand saved by Joonas Korpisalo,1st
84.0,-1.0,Shot,Brady Skjei Wrist Shot saved by Joonas Korpisalo,1st
83.0,2.0,Goal,Vincent Trocheck (1) Deflected, assists: Andrei Svechnikov (2), Tony DeAngelo (4),1st
36.0,-23.0,Missed Shot,Nino Niederreiter Wide of Net Joonas Korpisalo,1st
78.0,-25.0,Missed Shot,Jordan Staal Wide of Net Joonas Korpisalo,1st
88.0,7.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Joonas Korpisalo,1st
87.0,-9.0,Shot,Nino Niederreiter Snap Shot saved by Joonas Korpisalo,1st
85.0,10.0,Shot,Andrei Svechnikov Wrist Shot saved by Joonas Korpisalo,1st
71.0,26.0,Shot,Andrei Svechnikov Wrist Shot saved by Joonas Korpisalo,1st
59.0,-5.0,Shot,Brett Pesce Snap Shot saved by Joonas Korpisalo,2nd
69.0,20.0,Shot,Jesperi Kotkaniemi Wrist Shot saved by Joonas Korpisalo,2nd
69.0,21.0,Shot,Vincent Trocheck Wrist Shot saved by Joonas Korpisalo,2nd
70.0,5.0,Missed Shot,Jordan Martinook Wide of Net Joonas Korpisalo,2nd
63.0,-20.0,Shot,Jordan Staal Snap Shot saved by Joonas Korpisalo,2nd
59.0,-7.0,Missed Shot,Tony DeAngelo Wide of Net Joonas Korpisalo,2nd
41.0,35.0,Shot,Sebastian Aho Slap Shot saved by Joonas Korpisalo,2nd
31.0,-18.0,Shot,Martin Necas Wrist Shot saved by Joonas Korpisalo,2nd
36.0,-26.0,Shot,Teuvo Teravainen Wrist Shot saved by Joonas Korpisalo,2nd
53.0,23.0,Shot,Martin Necas Snap Shot saved by Joonas Korpisalo,2nd
66.0,-25.0,Shot,Teuvo Teravainen Wrist Shot saved by Joonas Korpisalo,2nd
85.0,6.0,Shot,Andrei Svechnikov Backhand saved by Joonas Korpisalo,2nd
44.0,24.0,Shot,Teuvo Teravainen Wrist Shot saved by Joonas Korpisalo,2nd
86.0,2.0,Goal,Jordan Staal (1) Deflected, assists: Brett Pesce (3), Jesperi Kotkaniemi (1),2nd
84.0,-13.0,Shot,Teuvo Teravainen Backhand saved by Joonas Korpisalo,2nd
58.0,-33.0,Shot,Vincent Trocheck Wrist Shot saved by Joonas Korpisalo,3rd
75.0,8.0,Missed Shot,Vincent Trocheck Over Net Joonas Korpisalo,3rd
44.0,-3.0,Missed Shot,Vincent Trocheck Over Net Joonas Korpisalo,3rd
79.0,3.0,Shot,Martin Necas Snap Shot saved by Joonas Korpisalo,3rd
46.0,1.0,Goal,Sebastian Aho (3) Snap Shot, assists: Vincent Trocheck (3), Teuvo Teravainen (4),3rd
4.0,40.0,Shot,Jesper Fast Wrist Shot saved by Joonas Korpisalo,3rd
78.0,-6.0,Shot,Sebastian Aho Snap Shot saved by Joonas Korpisalo,3rd
71.0,-7.0,Shot,Jordan Staal Snap Shot saved by Joonas Korpisalo,3rd
62.0,36.0,Missed Shot,Jesper Fast Over Net Joonas Korpisalo,3rd
80.0,6.0,Goal,Vincent Trocheck (2) Snap Shot, assists: Andrei Svechnikov (3), Jaccob Slavin (3),3rd
80.0,-33.0,Shot,Jordan Martinook Wrist Shot saved by Joonas Korpisalo,3rd
74.0,-24.0,Shot,Tony DeAngelo Wrist Shot saved by Joonas Korpisalo,3rd
34.0,35.0,Missed Shot,Brett Pesce Wide of Net Jack Campbell,1st
1.0,40.0,Shot,Andrei Svechnikov Wrist Shot saved by Jack Campbell,1st
84.0,-17.0,Missed Shot,Martin Necas Wide of Net Jack Campbell,1st
67.0,20.0,Shot,Jordan Martinook Wrist Shot saved by Jack Campbell,1st
55.0,38.0,Shot,Derek Stepan Wrist Shot saved by Jack Campbell,1st
49.0,15.0,Shot,Teuvo Teravainen Snap Shot saved by Jack Campbell,1st
42.0,-27.0,Shot,Jaccob Slavin Slap Shot saved by Jack Campbell,1st
80.0,-4.0,Missed Shot,Vincent Trocheck Wide of Net Jack Campbell,1st
81.0,18.0,Shot,Teuvo Teravainen Snap Shot saved by Jack Campbell,1st
35.0,-9.0,Shot,Tony DeAngelo Snap Shot saved by Jack Campbell,1st
75.0,-6.0,Shot,Jordan Staal Snap Shot saved by Jack Campbell,1st
50.0,40.0,Missed Shot,Jesperi Kotkaniemi Over Net Jack Campbell,1st
40.0,34.0,Shot,Ethan Bear Slap Shot saved by Jack Campbell,1st
83.0,8.0,Shot,Jaccob Slavin Backhand saved by Jack Campbell,1st
20.0,-32.0,Shot,Brady Skjei Slap Shot saved by Jack Campbell,1st
72.0,-19.0,Missed Shot,Vincent Trocheck Wide of Net Jack Campbell,1st
39.0,29.0,Shot,Brett Pesce Snap Shot saved by Jack Campbell,1st
79.0,-12.0,Shot,Nino Niederreiter Snap Shot saved by Jack Campbell,1st
63.0,-11.0,Shot,Brady Skjei Wrist Shot saved by Jack Campbell,1st
75.0,11.0,Shot,Andrei Svechnikov Snap Shot saved by Jack Campbell,1st
49.0,6.0,Missed Shot,Vincent Trocheck Wide of Net Jack Campbell,1st
54.0,8.0,Shot,Jordan Staal Snap Shot saved by Jack Campbell,2nd
72.0,-1.0,Missed Shot,Vincent Trocheck Wide of Net Jack Campbell,2nd
26.0,4.0,Shot,Brady Skjei Wrist Shot saved by Jack Campbell,2nd
74.0,10.0,Shot,Jesper Fast Snap Shot saved by Jack Campbell,2nd
83.0,0.0,Goal,Sebastian Aho (4) Deflected, assists: Ethan Bear (2), Andrei Svechnikov (4),2nd
77.0,-1.0,Missed Shot,Sebastian Aho Wide of Net Jack Campbell,2nd
80.0,-10.0,Missed Shot,Nino Niederreiter Over Net Jack Campbell,2nd
36.0,-19.0,Missed Shot,Tony DeAngelo Wide of Net Jack Campbell,2nd
78.0,-1.0,Goal,Steven Lorentz (1) Wrist Shot, assists: Jordan Martinook (1),2nd
80.0,-2.0,Goal,Nino Niederreiter (2) Wrist Shot, assists: Jaccob Slavin (4),2nd
86.0,-7.0,Shot,Teuvo Teravainen Snap Shot saved by Jack Campbell,3rd
